,text,label
57,"Google Stock Gobbled by Fidelity Investments\\Fidelity Investments, the world's largest mutual fund manager, bought \$549 million of stock in search engine Google's IPO, about 23 percent of the shares offered during the initial public offering. Fidelity reported in a filing with the U.S. Securities and Exchange Commission that it now ...",4
58,England captain David Beckham has denied reports that he plans to retire from international soccer after the 2006 World Cup and says his aim is to beat the appearance ,2
59,"The Issue: Space telescope was condemned to a lingering death. Our View: New report gives support to a manned rescue mission. The Hubble telescope may well be the most successful observatory ever built, producing ",4
60,"Jordan have terminated the contract of Italian driver Giorgio Pantano and called in Timo Glock as a replacement. The team said contractual difficulties were behind the split, and confirmed German Glock would race in Sunday #39;s inaugural Chinese Grand Prix.",2
61,"Camden has become the nation #39;s most-dangerous city, a national ranking company based in Kansas announced Sunday. Camden, which was ranked third worst last year, took the dubious honor from ",3
62,"WASHINGTON - President Bush never was disciplined while serving in the Texas Air National Guard, never failed a physical and never asked his father or family friends for help to get him into the Guard during the Vietnam War, the White House said Wednesday.    Meanwhile, the White House on Wednesday night produced a previously unreleased document from Bush's personnel file on his military service, seven months after it said all materials on the subject had been given to the public...",1
63,"IN THE face of mounting unrest, Graeme Souness remains determined to reverse the declining fortunes of Newcastle United, but he, like his predecessors, has quickly appreciated that management ",2
64,"Scores of Hotmail users received a pleasant surprise in their inboxes this week: more free storage. The move comes as Google inches closer to making its Gmail service, which includes a gigabyte of storage, available to the general public. By Joanna Glasner.",4
65,Reuters - The dollar slid back toward last week's\record low against the euro on Monday after a weekend meeting\of world finance chiefs ended with no agreement to stem the\greenback's decline.,3
66, NEW YORK (Reuters) - Hideki Matsui drove in the winning run  with a ninth-inning single to earn the rallying New York  Yankees a 5-4 victory over the host Cleveland Indians in the  American League Tuesday.,2
67,"Apple has unveiled what it claims is its fastest ever iBook G4 laptop, a \$1,499 1.33GHz PowerPC G4 processor-based device sporting a 14in screen and a DVD burner drive.",4
68,Mike McKenzie got his wish today when the Green Bay Packers traded the disgruntled cornerback and a future conditional draft pick to the New Orleans Saints for quarterback JT O #39;Sullivan and a second-round pick in next year #39;s draft.,2
69,"AP - All of New England would have been quaking with anticipation. Just imagine: Roger Clemens back at Fenway, wearing the enemy's colors for a fourth time in the postseason, this time in Game 7 of the World Series.",2
70,"A basketball refugee when the ROckers folded, Chasity Melvin has since helped stabilize the Mystics without Chamique Holdsclaw.",2
71,KIGALI -- Three US Air Force cargo planes and 120 US troops landed in Rwanda yesterday to transport Rwandan soldiers and equipment to Darfur as part of an expanded African Union peacekeeping mission in the violent region. Several dozen soldiers unloaded boxes full of rifles and handguns on the tarmac of Kigali airport on the outskirts of the capital. (Reuters),1
72,Schools are spending a fortune on technology in the hopes of gaining relevance with Generation I.  Bad news--they've already lost.,4
73,"NEW YORK In a deal estimated to be worth \$100 million a year for five years, Howard Stern, one of the most popular personalities in American radio, said Wednesday he had signed a contract with Sirius Satellite Radio and would leave his longtime job at ",3
74,Toyota Motor Corp. will start building its Prius hybrid sedans in China next year with FAW Group in a step it hopes will promote the vehicles as the global standard for fuel-efficient cars.,3
75,"Entering the inaugural Monday night outing of 2004, conventional wisdom was that the Green Bay Packers would need a supreme effort to come here and defeat the defending ",2
76,"nomoreself writes  quot;Sven Jaschan, only 18 years old, has been indicted by prosecutors in Verden, Germany for allegedly releasing the well known Sasser worm.",4
77,"AP - Phil Mickelson spent a sleepless night, not that it really mattered since he had plenty of time to rest up Saturday at the Ryder Cup. The best player in the majors this year, a chastised Mickelson sat out the morning four-ball matches mostly because U.S. captain Hal Sutton dared not risk giving away any more points.",2
78,The Governments chief scientist was today drawing attention to the problem of global warming. Professor Sir David King will address the issue in the Greenpeace business lecture tonight.,4
79,"Fireman's Fund Insurance Co., apparently swayed by recent meetings with a Massachusetts regulator, reversed course yesterday and said it now plans to continue writing auto insurance policies in the state next year.",3
80,"Reuters - Intel Corp. , the world's\largest maker of computer chips, said on Wednesday it would\double its quarterly dividend to 8 cents a share, the second\time this year it has doubled its cash payout.",3
81," JABALYA, Gaza Strip (Reuters) - Israel pulled most of its  forces out of the northern Gaza Strip Saturday after a four-day  incursion it said was staged to halt Palestinian rocket attacks  on southern Israeli towns.",1
82,Survivors of a fatal fire on a submarine have spoken of their experience as Canada #39;s defence minister said he could not rule out suing the British Government.,4
83,"AP - Because so many members of Red Sox Nation are expected in Boston to celebrate the team's World Series triumph, the victory parade Saturday won't be making any stops and won't culminate with a staged rally, either.",2
84,"Former Olympic boxer Brian Viloria of Wiapahu, Hawaii, knocked out Angel Priolo of Colombia in the seventh round of a scheduled 12-round flyweight bout Thursday night at the Grand Olympic Auditorium.",2
85, KIEV (Reuters) - Ukraine's prime minister was on the verge  of victory in a presidential election on Monday but his liberal  rival accused the authorities of mass fraud and told thousands  of supporters to stay on the streets in protest.,1
86,"WARSAW -- The new scandal mesmerizing Poland seems lifted from a Cold War dossier: Spies, oil traders, a polo player, and a billionaire are tangled in a rumored plot by Moscow to manipulate its smaller neighbor.",1
87,"IN ANOTHER change of plan, semiconductor giant Intel has cancelled a project to develop a chip for projection TVs, saying it plans to focus its resources in other areas.",4
88,"Forbes.com - As the second employee of InfoSpace, Jean-Remy Facq saw the value of his stock inflate and then collapse. Now he's suing in federal court in Seattle for a  #36;4.5 million refund of 1999 federal income tax. He's just one of 200 tech workers who have hired Seattle tax lawyer/CPA Brian G. Isaacson in the hope his novel theories will help them slash old (and sometimes unpaid) tax bills from their exercise of stock options for shares that later tanked.",3
89,"When Clemson finally beat Florida State in an Atlantic Coast Conference game last season, Tommy Bowden #39;s celebration was noticeably subdued.",2
90,"The top overall draft choice #39;s real introduction to the league came not in training camp or preseason, or even when he handed the ball to Tiki Barber on Sunday and watched the tailback sprint ",2
91,"AP - On the eve of the Republican convention, some GOP gay rights supporters frustrated by their party platform's hardline stance against same-sex unions say they are torn over whether to back President Bush in this fall's election.",1
92,"The head of Britain #39;s security services has called on business to play a greater role in combating the threat of terrorism. Eliza Manningham-Buller, the ",1
93,"The arrest marks a major breakthrough in the case, which involves the posting of more than 800MB of source code from Cisco's Internetwork Operating System (IOS) to a Russian Web site in May.",4
94,"PalmSource is to create a new version of the Palm OS with Linux at its core, the company said today after announcing a plan to buy Chinese phone software company China MobileSoft (CMS #39;).",4
95,"NARATHIWAT, Thailand : The deaths and beatings that followed last month #39;s demonstration in southern Thailand have left an indelible mark on the psyche of the Muslims living ",1
96,"AFP - Italian Prime Minister Silvio Berlusconi is aiming to make cooperation with Libya a model for Europe's efforts to stem a tide of illegal immigration from Africa, but further talks are still needed between Tripoli, Rome and the EU to resolve the crisis.",1
97,"Three shots behind Grace Park with five holes to go, six-time LPGA player of the year Sorenstam rallied with an eagle, birdie and three pars to win her fourth Samsung World Championship by three shots over Park on Sunday.",2
98,DreamWorks Animation Studios said Wednesday it would postpone the release of  quot;Shrek 3 quot; to May 2007 from November 2006. The announcement came a day after ,3
99,You #39;re probably already familiar with one of the most common questions we hear at iPodlounge:  quot;how can I load my iPod up with free music?,4
100,"Head coach Sam Mitchell has set some substantial goals for Carter, the club #39;s best swingman, and Bosh, the club #39;s best big man.",2
101,"Fighting near a village in Sudan #39;s crisis-plagued Darfur region killed at least 17 people Monday, while helicopters rescued dozens of workers who fled into the bush to escape.",1
102,AP - Iran insisted Thursday it had a right to exempt some equipment from an agreement with the European Union committing it to freeze all parts of a program that can make nuclear weapons-grade uranium  #151; a move that diplomats said threatened to scuttle the deal.,1
103,"SOFTWARE HACKERS are using snaps which they claim show David Beckham in a compromising position to infect people #39;s computers. Beckham, who apparently plays football, and is married to a member of a popular ",4
104,"ANAHEIM, Calif. Carlos Lee has been traded from the Chicago White Sox to the Milwaukee Brewers for outfielder Scott Podsednik (pahd-SEHD #39;-nihk), reliever Luis Vizcaino (loo-EES #39; vihs-ky-AY #39;-noh) and a player to be named.",2
105,"AP - Darren Fichardt had four birdies in a five-hole stretch on the way to a 4-under 67 Saturday, grabbing a share of the lead with Paul Broadhurst after the third round of the Madrid Open.",2
106,"India #39;s star batsman Sachin Tendulkar was Saturday declared fit for next week #39;s third cricket test against Australia after recovering from an elbow injury, news reports said.",2
107,"A convoy carrying Afghan President Hamid Karzai's vice presidential running-mate came under attack Wednesday in northeastern Afghanistan, the presidential palace and other officials said, the third attack on Karzai's supporters ahead of landmark weekend elections.",1
108,This fourth priority #39;s main focus has been improving or obtaining CRM and ERP software for the past year and a half. India #39;s software exports are on track to grow by 30 percent in the 2004-2005 fiscal year ,3
109,"MOSCOW, October 28 (Itar-Tass) - People in Russia #39;s European part will have an opportunity to see a full eclipse of the Moon during several hours Thursday morning, said Dr Andrei Finkelshtein, director of the Russian Institute of Applied Astronomy.",4
110,"Lucious Harris signed Friday with the Cleveland Cavaliers, who hope the New Jersey Nets veteran can strengthen a backcourt weakened by injuries during the playoffs last season.",2
111,"The United States does not believe that a large explosion in North Korea was related to the communist country #39;s suspected nuclear weapons program, President Bush #39;s foreign policy advisers said Sunday.",1
112,Tennessee quarterback Steve McNair is released from the hospital Tuesday morning after a two-night stay with a bruised sternum.,2
113,"The stat line in the first half was about as remarkable as it gets. But then again, North Carolina is getting used to big leads at the break.",2
114,"US stocks are expected to open modestly higher Wednesday, as oil prices remain center stage but thin summer volumes are likely to continue.",3
115,"The Apache Software Foundation (ASF), creator of the open-source Apache Web server, noted that it will not support the proposed antispam standard, called Sender ID, because Microsoft #39;s ",4
116,"AP - David Ortiz homered twice and drove in four runs, and Curt Schilling earned his 16th win in the Boston Red Sox's 11-5 victory over the Toronto Blue Jays on Wednesday night.",2
117,"For three quarters the US Men #39;s Olympic Team (2-1) chased Australia (1-2) and still heading into the final 10 minutes the Americans trailed 67-65. Stepping up its defense, the US reeled off 10 consecutive points to take control of the game and went on to ...",2
118,"Hewlett-Packard's Integrity rx4640 server is available with Intel's new Itanium 2 processor, which has 9MB of high-speed cache memory.",4
119,Oracle (nasdaq: ORCL - news - people ) presented its  quot;best and final offer quot; for takeover prey PeopleSoft (nasdaq: PSFT - news - people ) Monday.,3
120,"The dramatic return from abroad, call on his followers to head for Najaf and the swift ending to a three-week long fierce battle ",1
121,&lt;strong&gt;LinuxWorld:&lt;/strong&gt; Linux guru predicts 'next big thing',4
122,"ST. LOUIS - When the St. Louis Cardinals were playing .500 ball for the last two weeks of the regular season after already having clinched the National League Central championship, one question persisted.",2
123,BESLAN: Flags are flying at half-mast across Russia today as the nation begins mourning for 338 people killed when Chechen rebels seized a school.,1
124,AP - A former junior college basketball coach was indicted on charges that he provided false academic information about his athletes to Division I schools looking to recruit the players.,2
125,"Birgit Fischer settled for silver, leaving the 42-year-old Olympian with two medals in two days against decidedly younger competition.",2
126, SAN FRANCISCO (Reuters) - Barry Bonds will chase the  all-time home run record as a San Francisco Giants player after  the team dropped its option to void the final year of the  slugger's contract in 2006.,2
127,"AP - After a temper tantrum that led to an eight-game suspension and a course in anger management, Jose Guillen needed a change of scenery. He'll find it in the nation's capital. The Anahiem Angels traded Guillen to the Washington-bound Expos  #151; the soon-to-be Nationals  #151; on Friday for outfielder Juan Rivera and prospect Maicer Izturis.",2
128,Unemployment in Germany rises for the tenth straight month as growth remains sluggish despite a revival in domestic demand.,3
129,"DUBAIAn Islamist group claimed yesterday to have killed two Italian women taken hostage in Iraq, as a separate militant group released a video apparently showing the beheading of a captive American man.",1
130," VIENNA (Reuters) - World number two Amelie Mauresmo  shrugged off a thigh strain to cruise into the last eight of  the Linz Open with a 6-4, 6-0 win over Marta Domachowska  Thursday.",2
131,NEW YORK (CNN/Money) - Some colleges are fretting the release of Microsoft #39;s upgrade to its XP operating system -- whose release coincides with the opening of campuses around the country -- saying that multiple downloads of the patch could significantly ,4
132,"STEPHEN Gallacher won a European Tour event at the 188th attempt yesterday. The talented Scot, who turned professional nine years past, birdied the first extra hole of a sudden death play-off at the Old Course ",2
133," TOKYO (Reuters) - Japan's Nikkei share average slipped 0.58  percent on Monday morning after a weak U.S. jobs report kept  the dollar near a five-year low against the yen, hurting the  shares of Japanese exporters.",3
134,It's time to get down to business for stem-cell scientists and administrators after the tremendous boost they received from the passage of California's Proposition 71. Two advisory board appointments have been made; there are 25 to go. By Kristen Philipkoski.,4
135,"KOLKATA: Weeks of suspense, a final day packed with drama, and in the best potboiler tradition, it all boiled down to the last few moments.",2
136, LONDON (Reuters) - The dollar slid across the board on  Friday as cautious comments from Federal Reserve officials  raised doubts over the health of the U.S. economy before key  U.S. jobs data.,3
137,"CHICAGO Insurance giant Aon Corporation is looking for a new chief executive officer to succeed Patrick Ryan, who is retiring. The 67-year-old Ryan intends to stay on as CEO until his successor is named and ",3
138,The NFL coaches whose job security is under the most intense scrutiny these days are the Cleveland Browns' Butch Davis and the New Orleans Saints' Jim Haslett.,2
139,"Bremen, Germany (Sports Network) - Bayern Munich exacted some revenge Saturday afternoon with a 2-1 win over defending Bundesliga champions Werder Bremen.",2
140,Windows vs Linux : Web Hosting\\The Basics of Linux  #038; Windows : Linux (and its close relation Unix) and Windows 2000 (and its close cousin Windows NT) are types of software (known as operating systems) that web servers use to do the kind of things that web servers do. You ...,4
141,"You can still get your baby, your dog, even your prized  #39;65 Mustang on a sheet of postage stamps and immortalize them in letters to your friends.",3
142,Tabare Vazquez was poised to become Uruguay #39;s first leftwing president yesterday after campaigning for the more equitable distribution of wealth and social justice in a country crippled by a recent economic crisis.,1
143,"TELCOS Optus and Vodafone Australia will combine to create a national 3G mobile network, just three weeks after rival Telstra Corp entered a similar deal.",3
144,"Temasek Holdings Pte, a \$53 billion Singapore government fund, may buy stakes in China #39;s first private bank and Indonesia #39;s biggest listed oil company as it steps up investments abroad.",3
145,"Reuters - Shares of Sonic Automotive Inc. \and Asbury Automotive Group Inc.  fell sharply on\Tuesday after both car dealership companies cut their full-year\earnings estimates, citing the recent hurricanes and a\difficult new and used vehicle market.",3
146,"Male scientist are good at research because they have the hormone levels of women and long index fingers, a new study says. A survey of academics at the University of Bath has found that male scientists typically ",4
147,"TOULOUSE, Sep 21 (SW) - A strange goal early in the second half propelled three-time defending French champions Lyon to a 2-0 win away at Toulouse in Ligue 1 action on Tuesday.",2
148,England boss Sven-Goran Eriksson says a decent start to the World Cup qualifying campaign is vital.,1
149,"About 500 prospective jurors will be in an Eagle, Colorado, courtroom Friday, answering an 82-item questionnaire in preparation for the Kobe Bryant sexual assault trial.",2
150,"Home improvement retailer Lowe #39;s Cos. (LOW.N: Quote, Profile, Research) on Monday reported a 15 percent rise in third-quarter profit, aided by its expansion to New York ",3
151,"After months of flirting, IBM Corp has finally joined the industry-backed Liberty Alliance Project, potentially speeding interoperability between two rival sets of Web services specifications for federated identity.",4
152,"Eight years after an illegal shipment of oxygen generators caused the deadly crash of ValuJet Flight 592, the federal program for monitoring hazardous shipments aboard ",3
153,Turkey #39;s downward trend on the Corruption Perceptions Index over the last four years has stopped. Its grade rose from 3.1 to 3.2 this year.,1
154," SAO PAULO, Brazil (Reuters) - One vagrant died and three  were badly beaten in overnight attacks in Brazil's biggest city  of Sao Paulo, raising the number of victims of a suspected  death squad to 14 in four days.",1
155,"Lucent Technologies yesterday posted higher fiscal fourth- quarter earnings, helping lift the telecommunications equipment maker to its first profitable year since 2000.",3
156,"San Francisco, September 9: International Business Machines Corp late on Wednesday rolled out a new version of its database software aimed at users of Linux and Unix operating systems that it hopes will help the company take away market share from market ",4
157,"Round Rock-based Dell Inc. (Nasdaq: DELL) has landed a three-year \$20 million contract with Morris Township, NJ-based Honeywell International Inc.",3
158,"As general managers stampeded toward the airport, and Pedro Martinez reflected on the beauties of Flushing Meadow, another edition of baseball #39;s winter meetings ended Monday.",2
159,"""Personal Internet Communicator"" is geared toward families in so-called emerging markets, such as China and India.",4
160," LONDON (Reuters) - London Brent crude fell briefly through  \$40 on Thursday for the first time in three weeks, extending  heavy losses to a fifth session as renewed exports from Iraq  and higher-than-expected U.S. gasoline inventories encouraged  big-money funds to take profits.",3
161,"Orlando Magic #39;s Steve Francis (3) drives to the basket in front of New Orleans Hornets #39; Baron Davis (1) in first half of a preseason game at the Mississippi Coast Coliseum in Biloxi, Miss.",2
162,A Swedish team believes the chances of a person committing suicide is partly determined as early as birth.,1
163,"If Kurt Busch goes on to win his first title, he can point to the 500 miles at Lowe's Motor Speedway as the defining race of his season.",2
164,The focus of this action-packed game shifts from that of 007 himself to the corrupt underworld and its criminal masterminds. Players wreak havoc as they make their unrelenting rise through the ranks of villainy.,4
165,IBM has revealed additions to its Rational software development tool lineup and said its architecting and modeling tools will support Unified Modeling Language 2.0 by the end of the year.,4
166,"BRUSSELS - European economic growth slowed sharply in the third quarter due to the strength of the euro and high oil prices, casting a pall over the prospects for the eurozone in the quarters ahead.",3
167,"Immucor Inc. said president and chief executive are under criminal investigation in Italy for alleged improper payments to a doctor, the maker of blood-testing equipment said Tuesday.",3
168, PARIS (Reuters) - Europe's biggest tire maker Michelin  unveiled an airless tire on Tuesday designed to weather tough  road conditions in fast-growing countries like China and India.,4
169,WASHINGTON -- I'm so disorganized that I missed the chance to celebrate Get Organized Week.,3
170," BALTIMORE (Sports Network) - Baltimore Ravens cornerback  Chris McAlister agreed to a one-year tender with the team on  Monday, ending the All-Pro's month-long holdout.",2
171,"Britain #39;s golden girl, Kelly Holmes, faces the prospect of ending her summer track season with another couple of doubles here.",2
172,"BILLERICA -- General Electric Co.'s  quot;sensing quot; business is setting up its world headquarters in Billerica, as it consolidates three area plants into one.",3
173," quot;Everything is a trade-off, and the techniques used to find the bad guys will be balanced by our democracy and drive for rights of privacy, quot; said security expert Evan Scott.",4
174,"If a week is a long time in politics, just how long is almost three years in boxing? That is how long Felix Trinidad will have been inactive when he meets Nicaraguan wildman Ricardo Mayorga in New York this weekend.",2
175,Syniverse Technologies in Tampa signed a purchase agreement to acquire EDS Interoperator Services North America for approximately \$57 million payable in cash.,4
176,"The United States will build stronger defense ties with India, Defense Secretary Donald Rumsfeld vowed on Thursday, but New Delhi said proposed US arms sales to Pakistan could affect relations with Washington.",1
177,"Target #39;s decision to ban The Salvation Army bell ringers from stores has sparked a backlash, according to news reports from around the country.",3
178,"AUSTRALIA captain Ricky Ponting says the form of Michael Kasprowicz has left the world champions with a problem to solve ahead of the ICC Champions Trophy, which gets underway in England this week.",2
179,"One of the last frontiers of semiconductor technology -- environments where electronic devices have to run at high power, in fierce heat or at lethal doses of radiation -- may be about to fall.",4
180,"Yahoo Messenger Patches Security Hole\\If you logged into Yahoo Messenger today and was taken a back by an automatic security download - don't be scared, it's no virus. Yahoo was only patching up a few holes.\\Yahoo has posted a security patch for a flaw in its instant messaging software that ...",4
181,"Howard Stern, one of the most popular but polarizing personalities in radio, has proclaimed his emancipation from the decency czars of the Federal Communications Commission.",3
182,"Jeff Stacey, managing director of researcher IPO Monitor in Los Angeles, says Dutch auctions are designed to set the price accurately right away.",3
183,"A win by Democratic challenger John Kerry in next week #39;s US presidential election may give stocks a lift, if history is any guide.",3
184,"ATHENS, Greece If Mark Spitz had never lived, Michael Phelps would have done well to create him as a fictional character. ",2
185,"The Washington Post #39;s Rob Pegoraro says that Microsoft #39;s new MSN Music store is the most capable iTunes competitor, but that it falls  quot;just short quot; of Apple #39;s offering.",4
186,"Reuters - Britain, Australia and a former U.S.\official, stung by criticism from U.N. Secretary-General Kofi\Annan, insisted on Thursday that their countries' military\action in Iraq was legal.",1
187,The governor of Baghdad escapes unhurt when a roadside bomb explodes near his convoy.,1
188,"Google is rolling out POP support for Gmail, allowing customers to download messages to Outlook and other client-side applications.",4
189,The company will likely come out on top regardless of the outcome of the latest controversies.,3
